NOME FANTASIA;CNES;CNPJ;UF;MUNICIPIO;DATA DE ATUALIZAÇÃO
LABORATORIO SAO MIGUEL;3185524;45565868000177;SP;SAO PAULO;30/08/2018
LABORATORIO SAO NICOLAU;8013969;36914869000199;MT;CUIABA;30/08/2018
LABORATORIO SAO PAULO;2798506;02305009000136;RO;VILHENA;30/08/2018
LABORATORIO SAO PAULO;5938457;07590281000129;MG;MONTES CLAROS;30/08/2018
LABORATORIO SAO PAULO ARACATUBA;205552;51100840000167;SP;ARACATUBA;30/08/2018
LABORATORIO SAO PAULO BATATAIS;2051540;51815595000174;SP;BATATAIS;30/08/2018
LABORATORIO SAO PAULO DO POTENGI DE ANALISES CLINICAS;3019470;04585870000120;RN;SAO PAULO DO POTENGI;30/08/2018
LABORATORIO SAO PAULO RIBEIRAO PRETO;2086972;44237790000107;SP;RIBEIRAO PRETO;30/08/2018
LABORATORIO SAO PEDRO;3051889;91107128000104;RS;FLORES DA CUNHA;30/08/2018
LABORATORIO SAO RAFAEL;8007926;31700669000110;ES;CASTELO;30/08/2018
LABORATORIO SAO SEBASTIAO;6242782;01872366000113;MG;NOVA RESENDE;30/08/2018
LABORATORIO SAO SEBASTIAO;2140764;21228432000124;MG;CORONEL FABRICIANO;30/08/2018
LABORATORIO SAO SEBASTIAO;2729814;78973385000160;PR;BELA VISTA DO PARAISO;30/08/2018
Laboratório São Sebastião                                                                                                           ;2140764;21228432000124;MG;IPATINGA;30/08/2018
LABORATORIO SAO TOME;6920152;05676845000115;MG;CARMO DA CACHOEIRA;30/08/2018
LABORATORIO SAO VICENTE;3255069;05278906000196;PR;GUARAPUAVA;30/08/2018
LABORATORIO SAO VICENTE DE PAULO;6267459;03554139000175;MG;ITAMBACURI;30/08/2018
LABORATORIO SARETTA DE ANALISES CLINICAS;2233452;91791509000155;RS;CACAPAVA DO SUL;30/08/2018
LABORATORIO SAUDE;2555255;95764866000185;SC;SEARA;30/08/2018
LABORATORIO SAUDE E VIDA;7402740;18463375000153;MG;CURVELO;30/08/2018
LABORATORIO SAVIAN;7225180;17856722000145;SC;CUNHA PORA;30/08/2018
LABORATORIO SCRIBNER;5167825;08084442000175;PR;CURITIBA;30/08/2018
LABORATORIO SEEMANN;3007219;83073619000153;SC;TAIO;30/08/2018
LABORATORIO SEGOVIA;2652943;31790066000156;ES;MONTANHA;30/08/2018
LABORATORIO SEITENFUS;2233479;04209246000129;RS;ARROIO DO TIGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS;7950764;92937937002079;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS;7560443;92937937000882;RS;CACHOEIRINHA;30/08/2018
LABORATORIO SENHOR DOS PASSOS;6040276;92937937000610;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS;7757603;92937937001501;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS;6068499;92937937000530;RS;ALVORADA;30/08/2018
LABORATORIO SENHOR DOS PASSOS;6040225;92937937000297;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS CAVALHADA;7395736;92937937001420;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS II;6264654;92937937000459;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS III;6569536;92937937001269;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS LTDA;9026169;92937937002230;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS LTDA ALVORADA;2230569;92937937000106;RS;ALVORADA;30/08/2018
LABORATORIO SENHOR DOS PASSOS PARTENON;7808682;92937937001692;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SENHOR DOS PASSOS V;6569668;92937937001188;RS;PORTO ALEGRE;30/08/2018
LABORATORIO SIGMA;2531224;04436484000177;MA;IMPERATRIZ;30/08/2018
LABORATORIO SILVEIRA;2170515;26272948000190;MG;ITABIRA;30/08/2018
LABORATORIO SIRIO LIBANES;2332957;83331512000168;PA;BELEM;30/08/2018
LABORATORIO SLAVINSKI;7824890;22713122000168;GO;CHAPADAO DO CEU;30/08/2018
LABORATORIO SODRE;6237169;05934885000381;SP;LINS;30/08/2018
LABORATORIO SODRE;6152058;05934885000209;SP;MARILIA;30/08/2018
LABORATORIO SODRE PROMISSAO;6259898;05934885000110;SP;PROMISSAO;30/08/2018
LABORATORIO SOL DA TERRA;2663503;76861475000134;SC;FAXINAL DOS GUEDES;30/08/2018
LABORATORIO SPILLERE SC LTDA;2558130;00396696000117;SC;LAGUNA;30/08/2018
LABORATORIO SUGISAWA;3110648;05201002000162;PR;CURITIBA;30/08/2018
LABORATORIO SUMIDOURENSE DR LACYR MARCIO;7204221;07844965000100;RJ;CARMO;30/08/2018
LABORATORIO SUZUKI;3549208;44782571000109;SP;BARRETOS;30/08/2018
LABORATORIO TAJARA FILIAL SAO JOSE DO RIO PRETO;2758350;49649239000348;SP;SAO JOSE DO RIO PRETO;30/08/2018
LABORATORIO TERCIO ROSADO;2679248;08239907000110;RN;NATAL;30/08/2018
LABORATORIO TERTULIANO SOARES;2410494;01836789000188;RN;ACU;30/08/2018
LABORATORIO THIAGO HUGO;5809460;09317743000164;MG;DIAMANTINA;30/08/2018
LABORATORIO THONSON;9171495;32403297000122;ES;ARACRUZ;30/08/2018
LABORATORIO THONSON;7840632;32403297000718;ES;JOAO NEIVA;30/08/2018
LABORATORIO THONSON;5214068;08262377000120;ES;LINHARES;30/08/2018
