NOME FANTASIA;CNES;CNPJ;UF;MUNICIPIO;DATA DE ATUALIZAÇÃO
02 CTG CENTRO DE TTO DE FERIDAS E MEDICINA HIPERBARICA;9132082;24786340000158;MG;CONTAGEM;30/08/2018
02JF CENTRO DE OXIGENIOTERAPIA HIPERBARICA;7518129;17525444000143;MG;JUIZ DE FORA;30/08/2018
A C CAMARGO CANCER CENTER;2077531;60961968000106;SP;SAO PAULO;30/08/2018
A M P DE SOUZA FONOAUDIOLOGIA ME;9167773;23028239000175;SP;LINS;30/08/2018
A POSITIVO LABORATORIO;6908721;11709809000103;MG;TAIOBEIRAS;30/08/2018
A VIEIRA CLINICA MEDICA;3862100;01502884000145;BA;SALVADOR;30/08/2018
AA2 INSTITUTO SAUDE DIAGNOSTICO;6025226;09292185000120;SP;PROMISSAO;30/08/2018
ABADS;3210022;60805975000119;SP;SAO PAULO;30/08/2018
ABR SERVICOS;3152634;01507355000134;RJ;NOVA IGUACU;30/08/2018
ACADEMIA VOZ E VIDA;7968469;24413092000108;RJ;RIO DE JANEIRO;30/08/2018
ACAO E SAUDE PILATIS FISIOTERAPIA E RPG;2262444;65163685000132;MG;BELO HORIZONTE;30/08/2018
ACC CLINICA DE FISIOTERAPIA LTDA;3678342;72338718000101;RS;PORTO ALEGRE;30/08/2018
ACERTA LABORATORIO;7669275;19949211000101;PE;ARCOVERDE;30/08/2018
ACQUA LIFE;7634773;20335590000110;SP;ITAQUAQUECETUBA;30/08/2018
ACQUAFISIO;5620104;07912486000183;MG;BELO HORIZONTE;30/08/2018
ACREDITAR TOCANTINS;6059104;09378824000174;TO;ARAGUAINA;30/08/2018
ACSAMPAIO DIAGNOSTICOS LTDA ME;7971400;24095017000138;ES;LINHARES;30/08/2018
ACUQUAFISIO;3048748;01364424000106;PE;CARUARU;30/08/2018
ADOLFO LUTZ;3179028;00918889000190;CE;FORTALEZA;30/08/2018
ADOLFO LUTZ PEQUISA E DIAGNOSTICO;7073259;11040626000148;PE;RECIFE;30/08/2018
ADS TELEMEDICINA;3813762;02698518000176;BA;SALVADOR;30/08/2018
AFAC ULTRA SONOGRAFIA;3164039;33967142000181;BA;SALVADOR;30/08/2018
AFFETOS;7605862;20892276000139;SP;JACAREI;30/08/2018
AGAPE FISIOTERAPIA E ESTETICA;7445849;10386981000100;RJ;RIO DE JANEIRO;30/08/2018
AGENCIA TRANSFUSIONAL SINHA JUNQUEIRA;2045613;55980882001243;SP;RIBEIRAO PRETO;30/08/2018
AGILIS LABORATORIO DE PATOLOGIA LTDA;6529798;10290826000277;ES;LINHARES;30/08/2018
AGILIS LABORATORIO DE PATOLOGIA LTDA;6309747;10290826000196;ES;VITORIA;30/08/2018
AGS LABORATORIO DE ANALISES CLINICAS;5883636;86951191000192;MS;DOURADOS;30/08/2018
AKC DIAGNOSTICOS;9141456;04721117000204;DF;BRASILIA;30/08/2018
AL LABORATORIO DE ANALISES CLINICAS E CITOLOGICAS;9153527;11040626000229;PE;RECIFE;30/08/2018
ALBOR DIAGNOSTICOS;2060671;00547516000150;SP;SAO CAETANO DO SUL;30/08/2018
ALBRECHT CLINICA INTEGRADA DE REABILITACAO;3242668;01488598000172;RS;SAO LEOPOLDO;30/08/2018
ALCANCE CLINICA DE FISIOTERAPIA LTDA;3247570;03353379000101;MG;BELO HORIZONTE;30/08/2018
ALCANTARA E ENGLEITNER;3096963;02072207000105;MS;RIO VERDE DE MATO GROSSO;30/08/2018
ALCLIN LIBERDADE;3775461;33921495000302;BA;SALVADOR;30/08/2018
ALCLIN PITUBA;2752840;33921495000140;BA;SALVADOR;30/08/2018
ALEXANDRE ARAUJO VIANNA RIBEIRO;3547906;13115929000108;RJ;ANGRA DOS REIS;30/08/2018
ALEXANDRE MERCADANTE REABILITACOES;5855756;;SP;JACAREI;30/08/2018
ALFA DIAGNOSTICO;5128870;07933897000155;ES;IUNA;30/08/2018
ALFA LABORATORIO DE ANALISES CLINICAS;6416918;02850329000177;TO;PARAISO DO TOCANTINS;30/08/2018
ALFALAB ANALISES CLINICAS;5324432;08226835000176;MG;SAO JOAO NEPOMUCENO;30/08/2018
ALLMED SERVICOS MEDICOS;3143880;73524928000149;SP;SAO PAULO;30/08/2018
ALMEIDA E CUNHA LABORATORIO DE ANALISES CLINICA;7560028;20686310000119;MG;ICARAI DE MINAS;30/08/2018
ALTA CONSULTORIO DE NEUROLOGIA LTDA;6342434;07505713000156;MG;BELO HORIZONTE;30/08/2018
ALTANALISE LABORATORIO DE ANALISES CLINICAS LTDA;6550460;10945955000175;ES;MARILANDIA;30/08/2018
ALTO PADRAO LABORATORIO DE ANAL CLINICAS E PATOLOGICAS LTDA;66302467;12377868000194;GO;MORRINHOS;30/08/2018
ALVIM LABORATORIO DE ANALISES CLINICAS;5612748;08886773000129;MT;TANGARA DA SERRA;30/08/2018
AMENEG ASSIST MEDICA E NEFROLOGIA DE GUARULHOS;2071290;59650366000159;SP;GUARULHOS;30/08/2018
AMI;7444095;18565519000182;MG;UBERLANDIA;30/08/2018
AMICE CLINICA;8630501;10256215000121;GO;GOIANIA;30/08/2018
AMIG ASSOCIACAO MEDICA IGUATEM;6832229;05970593000132;RJ;RIO DE JANEIRO;30/08/2018
AMPIEZZA CLINICAS INTEGRADAS LTDA;6877214;13888605000102;DF;BRASILIA;30/08/2018
ANA CARLA ZAGO FISIOTERAPIA;7864310;23399857000121;SP;BAURU;30/08/2018
ANA PAULA BADUY OTORRINOLARINGOLOGIA;3090248;03739826000165;PR;CURITIBA;30/08/2018
ANA PAULA PERES DE CASTRO;5861098;;RJ;NITEROI;30/08/2018
ANACLI;2401991;05133454000154;BA;FEIRA DE SANTANA;30/08/2018
ANACLIN;2098008;20322798000103;MG;VICOSA;30/08/2018
ANACLIN LABORATORIO DE ANALISES CLINICAS;3213552;81398018000195;PR;SAO JOSE DOS PINHAIS;30/08/2018
ANALAB;2796538;03854139000190;MG;LIBERDADE;30/08/2018
ANALAB LAB DE ANALISES CLINICAS LTDA;6901913;13847842000125;MG;SARDOA;30/08/2018
ANALISA LABORATORIO DE ANALISES CLINICAS;6234062;10570297000184;SC;PALMITOS;30/08/2018
ANALISA LABORATORIO DE ANALISES CLINICAS LTDA;3198545;02526537000115;MG;VARZEA DA PALMA;30/08/2018
ANALISA LABORATORIOS ANALISES CLINICAS;9153217;26254308000157;PA;SANTAREM;30/08/2018
ANALISA MEDICINA LABORATORIAL;6196152;10334943000104;BA;ILHEUS;30/08/2018
ANALISAR CURVELO;2156180;00640378000150;MG;CURVELO;30/08/2018
ANALISE DIAGNOSTICO LABORATORIAL;3021807;05549363000102;BA;CAMPO FORMOSO;30/08/2018
ANALISE LABORATORIOS;6911358;13559187000100;MG;INHAPIM;30/08/2018
ANALISE LABORATORIOS;3005321;05162157000137;MG;CARATINGA;30/08/2018
ANALISES CLINICAS CURITIBA;16063;76912799000154;PR;CURITIBA;30/08/2018
ANALISES CLINICAS JAGUARI;2243008;87678611000171;RS;JAGUARI;30/08/2018
ANALISES LABORATORIO CLINICO;7498705;19523881000153;MG;ALFENAS;30/08/2018
ANALISES LABORATORIO CLINICO;6210406;10321076000172;RN;JARDIM DO SERIDO;30/08/2018
ANALISIS;3143783;43562461000160;SP;SAO PAULO;30/08/2018
ANALISYS LABORATORIO CLINICO;6976441;08463383000146;RN;MOSSORO;30/08/2018
ANALISYS LABORATORIO DE ANALISES CLINICAS;6583091;11371453000140;ES;VILA VALERIO;30/08/2018
ANALISYS PREVENCAO E DIAGNOSTICO;6477208;08853917000140;MG;DIVINOLANDIA DE MINAS;30/08/2018
ANALITICA EXAMES LABORATORIAIS;5792282;61298576000171;SP;MAIRIPORA;30/08/2018
ANALYSIS LABORATORIO;7691343;19161004000180;SP;PEDERNEIRAS;30/08/2018
ANATOMED INSTITUTO DE ANATOMIA PATOLOGICA DE BAURU;2754924;54727755000111;SP;BAURU;30/08/2018
ANATOMIA PATOLOGICA E CITOLOGIA LTDA;2695596;21516273000163;MG;BELO HORIZONTE;30/08/2018
ANATPAT MEDICINA DIAGNOSTICA;3223957;97134555000168;RS;PORTO ALEGRE;30/08/2018
ANDRE ALEXANDRE DE MORAES CECHINEL;7834616;;RJ;RIO DE JANEIRO;30/08/2018
ANDREA TRINDADE FISIOTERAPIA;7266731;05972814000101;MG;BELO HORIZONTE;30/08/2018
ANDREIA MONTEIRO FISIOTERAPIA E ESPACO SAUDE ATIBAIA;7126115;13076130000150;SP;ATIBAIA;30/08/2018
ANGIO LASER;6789919;05994208000197;AM;MANAUS;30/08/2018
ANGIOCORE;7708998;19668876000139;MG;BELO HORIZONTE;30/08/2018
ANGIODIAGNOSTICO;3023362;04802199000122;DF;BRASILIA;30/08/2018
ANGIOLAB;3357953;39616529000170;ES;VITORIA;30/08/2018
ANGIOLAB;3237249;03945413000137;ES;SERRA;30/08/2018
ANGIOSCAN CD COR;7078323;00954443000383;SP;JUNDIAI;30/08/2018
ANGIOSCAN UNIDADE IRMA CRESCENCIA CULTURATO;3642054;00954443000200;SP;JUNDIAI;30/08/2018
ANGIOSCAN UNIDADE SAO VICENTE DE PAULA;2813572;00954443000111;SP;JUNDIAI;30/08/2018
ANGIOSSOM;7848323;20664873000106;MG;BELO HORIZONTE;30/08/2018
ANGRA RIM;3495531;03641507000112;RJ;ANGRA DOS REIS;30/08/2018
ANNA LUIZA SOARES PORTO GONCALVES;7562195;;RJ;RIO DE JANEIRO;30/08/2018
ANPG;3224724;00867860000127;BA;SALVADOR;30/08/2018
ANTICORPOS LABORATORIO;3728749;00587132000161;RJ;NITEROI;30/08/2018
ANTONIO PONTELLO CEOF;7839456;22938581000140;MG;SETE LAGOAS;30/08/2018
APAE DE TRES RIOS;7401094;27963511000165;RJ;TRES RIOS;30/08/2018
APAE SALVADOR;4529;15233505000173;BA;SALVADOR;30/08/2018
APAE SALVADOR;4529;15233505000173;BA;SALVADOR;30/08/2018
APIMA REABILITACAO;6073026;08827846000101;SP;SAO PAULO;30/08/2018
AQUA E TERAPIA;6566472;10505348000194;BA;SALVADOR;30/08/2018
ARAI KAMINISHI E COSTA DIAGNOSTICOS;3110982;04721117000115;TO;PALMAS;30/08/2018
ARCOLAB ARCOVERDE LABORATORIO DE ANALISES CLINICAS;2634406;04874440000129;PE;ARCOVERDE;30/08/2018
ARIQUEMES CLINICA DE FISIOTERAPIA E REABILITACAO;7758332;22507605000106;RO;ARIQUEMES;30/08/2018
ART PHYSIO;7693850;21796426000173;SC;ITAJAI;30/08/2018
ARTICULARE;7766726;20922185000107;MG;MONTES CLAROS;30/08/2018
ARTROCENTER CLINICA MEDICA TAUBATE;3882403;07507626000138;SP;TAUBATE;30/08/2018
ASSOCIACAO CRISTA BENEFICENTE DE TURVO;4057155;00554940000122;PR;TURVO;30/08/2018
Associação de Ensino de Ribeirão Preto                                                                                              ;2043475;55983670000167;SP;RIBEIRAO PRETO;30/08/2018
ASSOCIACAO DE INT DOS DEFICIENTES DE SANTA ROSA DE VITERBO;5046513;51827152000101;SP;SANTA ROSA DE VITERBO;30/08/2018
ASSOCIACAO HOSPITALAR MANOEL FRANCISCO GUERREIRO;2793237;03184906000100;RS;GUAPORE;30/08/2018
ASSOCIACAO PESTALOZZI DE NITEROI;2273004;30100499000170;RJ;NITEROI;30/08/2018
ASSOCIACAO RENAL VIDA;2379430;05748642000278;SC;RIO DO SUL;30/08/2018
ASSOCIACAO RENAL VIDA;2522322;05748642000197;SC;BLUMENAU;30/08/2018
ASSOCIACAO RENAL VIDA ITAJAI;2522616;05748642000359;SC;ITAJAI;30/08/2018
ASSOCIACAO RENAL VIDA TIMBO;3689603;05748642000430;SC;TIMBO;30/08/2018
ATEAL ASSOCIACAO TERAP DE ESTIMULACAO AUDITIVA E LINGUAGEM;2090750;51910842000111;SP;JUNDIAI;30/08/2018
ATENA FISIOTERAPIA LTDA ME;341119;05132379000107;PR;FAZENDA RIO GRANDE;30/08/2018
ATHENA LABORATORIO;7251424;14057534000169;MG;SAO SEBASTIAO DO PARAISO;30/08/2018
ATRIUM COR CARDIOLOGIC CENTER LTDA;9001182;23857395000149;MG;UBERABA;30/08/2018
ATTO DIAGNOSIS SAO JOAO DA BOA VISTA;6795595;11809832000170;SP;SAO JOAO DA BOA VISTA;30/08/2018
AUDILIFE FONOAUDIOLOGIA E ESPECIALIDADES;7520840;20099566000120;RS;NOVO HAMBURGO;30/08/2018
AUDIO CLINICA DO RECIFE;6259499;40819765000172;PE;RECIFE;30/08/2018
AUDIOCENTER;1213;22538337000190;PE;CARUARU;30/08/2018
AUDIOCENTER;6613691;03882006000128;RO;JI-PARANA;30/08/2018
AUDIOCLINICA;3593509;09063655000183;PR;LONDRINA;30/08/2018
AUDIOCOM CONSULTORIA FONOAUDIOLOGICA;7112750;08188892000108;PR;CURITIBA;30/08/2018
AUDIOLOGICA CLINICA DE FONOAUDIOLOGIA E MEDICA;6264484;10617320000149;MG;BELO HORIZONTE;30/08/2018
AUDITIVA CENTRO FONOAUDIOLOGICO;5860873;09511055000130;PA;PARAUAPEBAS;30/08/2018
AUGUSTO SAVAZZONI;9015566;24896112000130;SP;RIBEIRAO PRETO;30/08/2018
AZAL E AZAL SERVICOS MEDICOS LTDA EPP;6151604;15400844000105;SP;CAMPINAS;30/08/2018
AZALA PATOLOGIA;7490119;18834183000106;MG;MONTES CLAROS;30/08/2018
B S BIOSAUDE CLINICA DE FISIOTERAPIA;2240017;04080852000197;RS;FLORES DA CUNHA;30/08/2018
BACELLAR LABORATORIOS;3900355;07566384000153;RS;ESTEIO;30/08/2018
BAHIA IMAGEM;6595200;42112201000201;BA;SALVADOR;30/08/2018
BAHIA IMAGEM;3182193;42112201000120;BA;SALVADOR;30/08/2018
BANCO DE SANGUE BRIGADEIRO LUIZ ANTONIO;6966861;61369047002327;SP;SAO PAULO;30/08/2018
BANCO DE SANGUE DA SANTA CASA DE CURITIBA;2779757;76625466000144;PR;CURITIBA;30/08/2018
BANCO DE SANGUE DE OURINHOS;2045990;03344498000106;SP;OURINHOS;30/08/2018
BANCO DE SANGUE DO HOSPITAL PROFESSOR EDMUNDO VASCONCELOS;3097218;61369047001940;SP;SAO PAULO;30/08/2018
BANCO DE SANGUE DOM BOSCO;2586436;75999748000149;PR;MARINGA;30/08/2018
BANCO DE SANGUE ERECHIM;2249316;92902725000193;RS;ERECHIM;30/08/2018
BANCO DE SANGUE ITAPEVA;2044684;03344498000289;SP;ITAPEVA;30/08/2018
BANCO DE SANGUE SANTA TERESA LTDA;9075879;03007588000446;RJ;TRES RIOS;30/08/2018
BANZATTO FILIPECKI SAUDE RIBEIRAO PRETO;3450008;10651950000130;SP;RIBEIRAO PRETO;30/08/2018
BARION SUM SERVICOS MEDICOS;7760175;22262960000162;SC;JOINVILLE;30/08/2018
BARRACOR;5410576;03163580000126;RJ;RIO DE JANEIRO;30/08/2018
BARRALAB;2680521;30972442000160;ES;BARRA DE SAO FRANCISCO;30/08/2018
BBZ CENTRO AUDITIVO;19925;04885897000139;SC;FLORIANOPOLIS;30/08/2018
BDI BRASIL DIAGNOSTICOS POR IMAGEM;6772838;12072721000196;BA;EUNAPOLIS;30/08/2018
BELLE CLINIQUE;6902030;11744355000101;PR;CAMPO MOURAO;30/08/2018
BELO VALE HOSPITAL E MATERNIDADE HENRIQUE PENIDO SA;2182610;23993579000136;MG;BELO VALE;30/08/2018
BEM ESTAR FISIOTERAPIA;5479649;05499406000184;SC;BALNEARIO CAMBORIU;30/08/2018
BEM VIVER FONOAUDIOLOGIA;9120092;;SP;JACAREI;30/08/2018
BENEFISIO;5343518;08725720000126;SC;SAO MIGUEL DO OESTE;30/08/2018
BENEFISIO CLINICA DE FISIOTERAPIA;7290586;18294414000136;CE;FORTALEZA;30/08/2018
BETIMCOR;2126257;02218688000106;MG;BETIM;30/08/2018
BHIO 3 LABORATORIO CLINICO ITAJUBA;3147800;65246902000158;MG;ITAJUBA;30/08/2018
BIO ANALISE;4061373;04763107000142;SC;MARACAJA;30/08/2018
BIO ANALISE CAMPO NOVO DO PARECIS;3594548;06943313000160;MT;CAMPO NOVO DO PARECIS;30/08/2018
BIO ANALISE LABORATORIO CLINICO;6581293;10869883000124;SP;ITAPORANGA;30/08/2018
BIO ANALISES;7024223;15544939000194;RS;CATUIPE;30/08/2018
BIO CELL LABORATORIO DE ANALISES CLINICAS;7592531;20965020000104;PA;SAO DOMINGOS DO ARAGUAIA;30/08/2018
BIO CLINICA ITATIBA;2030233;58386889000177;SP;ITATIBA;30/08/2018
BIO DIAGNOSE ANALISES;2094487;68321306000183;SP;SERTAOZINHO;30/08/2018
BIO DIAGNOSTICO EXAMES LABORATORIAIS;7972636;24555339000112;GO;RIO VERDE;30/08/2018
BIO DIAGNOTISCO SANTA RITA DO PASSA QUATRO;7545983;19855274000190;SP;SANTA RITA DO PASSA QUATRO;30/08/2018
BIO ENSAIO LABORATORIO DE ANALISES CLINICAS EIRELI ME;7007523;11901413000163;PR;LOBATO;30/08/2018
BIO EQUILIBRIO CLINICA DE FISIOTERAPIA;9136428;26774394000129;MG;JANUARIA;30/08/2018
BIO EXAME LABORATORIO DE ANALISES CLINICAS;3396444;05850362000195;SC;FLORIANOPOLIS;30/08/2018
BIO MOVIMENTO CLINICA DE FISIOTERAPIA;7308515;18328954000193;SP;SAO PAULO;30/08/2018
BIO QUIMICO LABOR CENTRO DE DIAGNOSTICOS LTDA;2086662;54718176000102;SP;PARAGUACU PAULISTA;30/08/2018
BIO SAUDE LABORATORIO;3099660;04693124000150;BA;RIBEIRA DO POMBAL;30/08/2018
BIO VIDA;32988333;05634447000136;MG;BARAO DE COCAIS;30/08/2018
BIO VIDA;6865488;12620170000158;SE;ARACAJU;30/08/2018
BIO VIDA LABORATORIO DE ANALISES CLINICAS;7640579;21329721000110;SC;ITAPIRANGA;30/08/2018
BIOANALISE;3274713;01042665000120;BA;SERRINHA;30/08/2018
BIOANALISE;6722083;13095565000141;RS;SERAFINA CORREA;30/08/2018
BIOANALISE;3137384;09155391000198;PB;CAMPINA GRANDE;30/08/2018
BIOANALISE LABORATORIO CLINICO;6502288;10986991000187;RS;DOM FELICIANO;30/08/2018
BIOANALISE LABORATORIO DE ANALISES CLINICAS;6109454;07759452000109;ES;ALFREDO CHAVES;30/08/2018
BIOANALISES;2602954;34363564000100;BA;PAULO AFONSO;30/08/2018
BIOANALISES;5406773;08700931000104;SC;MARAVILHA;30/08/2018
BIOANALISES;33622;92521061000112;RS;VERA CRUZ;30/08/2018
BIOANALISES;7152426;17197760000133;MS;INOCENCIA;30/08/2018
BIOANALISES I;7517076;89169379001305;RS;PORTO ALEGRE;30/08/2018
BIOANALISES LTDA;2377942;01817432000152;SC;ITUPORANGA;30/08/2018
BIOCELULA;2119382;03796995000137;MG;CARATINGA;30/08/2018
BIOCENTER;5691796;02655941000199;MG;NOVA PONTE;30/08/2018
BIOCENTER CENTRAL DIAGNOSTICOS LABORATORIAIS;2578611;79139457000131;PR;LONDRINA;30/08/2018
BIOCENTER LABORATORIO CLINICO LTDA;2029049;01317471000190;SP;SAO BERNARDO DO CAMPO;30/08/2018
BIOCENTER LABORATORIO DE ANALISES CLINICAS;5546370;08428763000140;MG;CAPELINHA;30/08/2018
BIOCENTER SAO LOURENCO DO OESTE SC;6795579;82471251000623;SC;SAO LOURENCO DO OESTE;30/08/2018
BIOCESP LABORATORIO DE ANALISES CLINICAS;2219999;26201012000178;MG;GOVERNADOR VALADARES;30/08/2018
BIOCITO;3409937;07027350000190;SC;LAGES;30/08/2018
BIOCITO;5362423;08517998000108;RS;PASSO FUNDO;30/08/2018
BIOCLIN;3304051;04560152000108;SP;OLIMPIA;30/08/2018
BIOCLIN II;9183108;21852493000168;SP;OLIMPIA;30/08/2018
BIOCLIN LABORATORIO DE ANALISE CLINICAS;6250203;08854524000151;SP;PILAR DO SUL;30/08/2018
BIOCLIN LABORATORIO DE ANALISES CLINICAS;5259800;45184066000702;SP;SAO JOSE DOS CAMPOS;30/08/2018
BIOCLIN MIRASSOL;2076012;49061641000145;SP;MIRASSOL;30/08/2018
BIOCLINIC LABORATORIO DE ANALISES CLINICAS SC LTDA;2129612;21416409000163;MG;POCOS DE CALDAS;30/08/2018
BIOCLINIC TABOAO DA SERRA;2052644;51441822000149;SP;TABOAO DA SERRA;30/08/2018
BIOCLINICA;2765152;19659309000116;MG;CARANGOLA;30/08/2018
BIOCLINICA;2469979;34406363000143;BA;ITABERABA;30/08/2018
BIOCLINICA LABORATORIO DE ANALISES CLINICAS;3346277;52390382000100;SP;TAQUARITINGA;30/08/2018
BIOCLINICO LABORATORIO DE ANALISES;3832007;07061147000130;SC;CAMPO ERE;30/08/2018
BIOCLINICO LABORATORIO DE ANALISES CLINICAS;2659077;39357553000131;ES;ANCHIETA;30/08/2018
BIOCLINICO MEDICINA LABORATORIAL;6196349;08545794000180;BA;MACAUBAS;30/08/2018
BIOCOR INSTITUTO;2695634;20294088000109;MG;BELO HORIZONTE;30/08/2018
BIODADOS LABORATORIO POUSO ALEGRE;6129552;09517124000113;MG;POUSO ALEGRE;30/08/2018
BIODIAGNOSE;2136201;04165641000157;MG;ALTO RIO DOCE;30/08/2018
BIODIAGNOSTICO;2226200;90152414000129;RS;CAMAQUA;30/08/2018
BIODIAGNOSTICO LABORATORIO DE ANALISES CLINICAS;2235560;90264276000170;RS;CANELA;30/08/2018
BIODIAGNOSTICOS;7059310;15064674000127;PA;SANTAREM;30/08/2018
BIOEXAME LAB ANALISES CLINICAS;2173514;26149138000140;MG;SAO JOAO DEL REI;30/08/2018
BIOFAST ITU;6726631;06137183002030;SP;ITU;30/08/2018
BIOFAST MEDICINA E SAUDE;3684865;06137183000178;SP;SAO PAULO;30/08/2018
BIOFAST MEDICINA E SAUDE LTDA;6323898;06137183001220;SP;PRAIA GRANDE;30/08/2018
BIOFISIO;7768362;22445257000190;PB;JOAO PESSOA;30/08/2018
BIOFISIO CLINICA DE FISIOETRAPIA ESTETICA E PILATES;7548400;20242810000161;MG;SALINAS;30/08/2018
BIOFISIO CLINICA INTEGRADA DE FISIOTERAPIA;5039487;01605576000145;SP;GUARULHOS;30/08/2018
BIOFONO;3504468;07198037000115;DF;BRASILIA;30/08/2018
BIOGEN LABORATORIO DE ANALISES CLINICAS;5462878;08430150000147;GO;MAURILANDIA;30/08/2018
BIOGEN PEDREIRA PEDREIRA;2749521;67997502000100;SP;PEDREIRA;30/08/2018
BIOGRAPH;7843666;03973223000123;SE;ARACAJU;30/08/2018
BIOLAB ANALISES CLINICAS;5449146;51496602000112;SP;DOIS CORREGOS;30/08/2018
BIOLAB ANALISES CLINICAS LTDA ME;7107870;51496602000201;SP;DOIS CORREGOS;30/08/2018
BIOLAB DE IEPE;3153649;04524964000190;SP;IEPE;30/08/2018
BIOLAB LABORATORIO;2789914;01736809000149;SP;AGUDOS;30/08/2018
BIOLAB LABORATORIO DE ANALISES CLINICAS;6846491;52251659000114;SP;SANTOS;30/08/2018
BIOLAB LABORATORIO DE ANALISES CLINICAS;2378124;81308462000172;SC;GUARACIABA;30/08/2018
BIOLAB LABORATORIO DE ANALISES CLINICAS CERQUILHO;2096048;58981861000188;SP;CERQUILHO;30/08/2018
BIOLAB LABORATORIO DE ANALISES CLINICAS SANTOS;2071592;52251659000203;SP;SANTOS;30/08/2018
BIOLAB SAO SIMAO;5293200;07876512000165;SP;SAO SIMAO;30/08/2018
BIOLABOR;3534499;07215588000140;SC;CRICIUMA;30/08/2018
BIOLABOR;3164551;01007109000113;MG;SAO SEBASTIAO DO PARAISO;30/08/2018
BIOLABTM LABORATORIO DE ANALISES CLINICAS;7240465;15407096000184;RS;TRES DE MAIO;30/08/2018
BIOLAG ANALISES CLINICAS;29025;05309820000183;PR;FAZENDA RIO GRANDE;30/08/2018
BIOLAM;7658257;10579322000190;SP;SANTA BRANCA;30/08/2018
BIOLIFE LABORATORIO DE ANALISES CLINICAS LTDA ME;6819257;10873336000384;RS;PORTAO;30/08/2018
BIOLIFE LABORATORIO DE ANALISES CLINICAS LTDA ME;7703791;10873336000112;RS;IVOTI;30/08/2018
BIOLIFE LABORATORIO DE ANALISES CLINICAS MOCOCA;9008896;23683665000142;SP;MOCOCA;30/08/2018
BIOLOGIC;6783805;05485029000124;ES;VARGEM ALTA;30/08/2018
BIOLUZ;2514192;16435745000113;BA;SANTALUZ;30/08/2018
BIOMED;3901785;07838811000105;MG;SALINAS;30/08/2018
BIOMED ITAI;2748185;02036072000114;SP;ITAI;30/08/2018
BIOMED LABORATORIO DE ANALISES;6901328;13328581000137;MG;AGUAS FORMOSAS;30/08/2018
BIOMED LABORATORIO DE ANALISES CLINICAS;5245834;05036737000188;MG;SAO GOTARDO;30/08/2018
BIOMED PIRACICABA;2032899;51329803000125;SP;PIRACICABA;30/08/2018
BIOMEDIC;2152096;00096674000131;MG;UBERLANDIA;30/08/2018
BIOMEDIC VOTUPORANGA;2046016;59855742000141;SP;VOTUPORANGA;30/08/2018
BIONALISE BP LTDA;6512151;02171904000296;RS;PAROBE;30/08/2018
BIOPHARMA;2251868;04275622000183;RS;ARVOREZINHA;30/08/2018
BIOPHISIO CLINICA DE FISIOTERAPIA APLICADA LTDA;6371574;59016501000109;SP;CAMPINAS;30/08/2018
BIOPSE HARMONY;3163571;05433590000160;CE;FORTALEZA;30/08/2018
BIOPSIA;3030040;02313654000109;DF;BRASILIA;30/08/2018
BIOPSIA;8004838;04851055000166;GO;ANAPOLIS;30/08/2018
BIOPSIA ANATOMIA PATOLOGICA E CITOLOGIA;5162793;05407056000189;PR;TELEMACO BORBA;30/08/2018
BIOSOFIA LABORATORIO;7819323;22278678000173;RS;ESTRELA;30/08/2018
BIOSUL ANALISES CLINICAS SAO BORJA;7044704;15170395000148;RS;SAO BORJA;30/08/2018
BIOTEST DIAGNOSTICO DE APOIO;5618126;09061707000182;PA;MARABA;30/08/2018
BIOTEST LABORATORIO ANAL CLINICAS;2178583;26105643000193;MG;PARAOPEBA;30/08/2018
BIOTEST SANTA BARBARA;2169835;00778963000110;MG;SANTA BARBARA;30/08/2018
BIOTESTY;6620558;12182061000104;MG;CAMPINA VERDE;30/08/2018
BIOVEL LABORATORIO;2736659;04328880000180;PR;CASCAVEL;30/08/2018
BIOVIDA ANALISES CLINICAS;3164306;04210820000169;MG;ALPINOPOLIS;30/08/2018
BIOVIDA LABORATORIO CLINICO;2535122;26712323000100;GO;PORANGATU;30/08/2018
BIOVITA LAB DE ANALISES CLINICAS;3212181;02432724000130;SC;BRACO DO NORTE;30/08/2018
BIZELI E VOLACO LTDA;6114083;09511632000194;PR;PONTA GROSSA;30/08/2018
BML PATOLOGIA;2522225;00597320000170;SC;BLUMENAU;30/08/2018
BOM PASTOR LABORATORIO CLINICO;5931029;89667927000517;RS;NOVA HARTZ;30/08/2018
BOM PASTOR LABORATORIO CLINICO;5914442;89667927000355;RS;ROLANTE;30/08/2018
BOM PASTOR LABORATORIO CLINICO;2225352;02171904000105;RS;PAROBE;30/08/2018
BRAGA ZOLETTI SERVICOS MEDICOS LTDA;3887707;02832515000183;SP;SANTOS;30/08/2018
BUCCAL ODONTOLOGIA;9159576;24343999000130;GO;GOIANIA;30/08/2018
BV CENTRO AUDITIVO;3466809;00139892000106;CE;JUAZEIRO DO NORTE;30/08/2018
BYORI LABORATORIO DE HISTOPALOGIA E CITOPATOLOGIA;7124856;08373832000165;PR;CURITIBA;30/08/2018
C B A CENTRO DE BIOANALISES APLICADAS LTDA JACUTINGA;5620678;03020795000198;MG;JACUTINGA;30/08/2018
C S A SERVICOS FONOAUDIOLOGICOS;7950462;04706813000152;MA;SAO LUIS;30/08/2018
CACIM;2743507;12755732000170;RN;MOSSORO;30/08/2018
