"ORIGEM";"NOME FANTASIA";"CNES";"CNPJ";"UF";"MUNICIPIO";"DATA DE ATUALIZACAO";"OBSERVACAO"
"HOSPITAIS";"HOSPITAL NETTO CAMPELLO DE SERTAOZINHO SP";"=""2078961""";"=""01613433008089""";"SP";"SERTAOZINHO";"";""
"HOSPITAIS";"HOSPITAL NEUROLOGICO";"=""2339765""";"=""01011865000116""";"GO";"GOIANIA";"";""
"HOSPITAIS";"HOSPITAL NOSSA SENHORA AUXILIADORA";"=""2756951""";"=""03873593000199""";"MS";"TRES LAGOAS";"";""
"HOSPITAIS";"HOSPITAL NOSSA SENHORA DA CONCEICAO";"=""2491710""";"=""83883306001213""";"SC";"TUBARAO";"";""
"HOSPITAIS";"HOSPITAL NOSSA SENHORA DA CONCEICAO HNSC";"=""2419653""";"=""86531803000198""";"SC";"URUSSANGA";"";""
"HOSPITAIS";"HOSPITAL NOSSA SENHORA DAS DORES";"=""2215586""";"=""20959292000100""";"MG";"ITABIRA";"";""
"HOSPITAIS";"HOSPITAL NOSSA SENHORA DAS GRACAS";"=""2232014""";"=""88314133000183""";"RS";"CANOAS";"";""
"HOSPITAIS";"HOSPITAL NOSSA SENHORA DAS GRACAS";"=""2206528""";"=""24993560000152""";"MG";"SETE LAGOAS";"";""
"HOSPITAIS";"HOSPITAL NOSSA SENHORA DOS ANJOS";"=""2185563""";"=""26202168000173""";"MG";"ITAMBACURI";"";""
"HOSPITAIS";"HOSPITAL OESTE DOR";"=""7659415""";"=""06047087003316""";"RJ";"RIO DE JANEIRO";"";""
"HOSPITAIS";"HOSPITAL OSWALDO CRUZ";"=""2755246""";"=""38147344000109""";"TO";"PALMAS";"";""
"HOSPITAIS";"HOSPITAL OTORRINO";"=""2518853""";"=""01604628000169""";"GO";"GOIANIA";"";""
"HOSPITAIS";"HOSPITAL PADRE ALBINO CATANDUVA";"=""2089327""";"=""47074851000819""";"SP";"CATANDUVA";"";""
"HOSPITAIS";"HOSPITAL PADRE MAXIMO VENDA NOVA DO IMIGRANTE";"=""2403331""";"=""27443803000177""";"ES";"VENDA NOVA DO IMIGRANTE";"";""
"HOSPITAIS";"HOSPITAL PALMITOS";"=""2664984""";"=""85361053000190""";"SC";"PALMITOS";"";""
"HOSPITAIS";"HOSPITAL PILAR";"=""3000885""";"=""76498013000102""";"PR";"CURITIBA";"";""
"HOSPITAIS";"HOSPITAL PORTUGUES";"=""2018098""";"=""04382792000167""";"AM";"MANAUS";"";""
"HOSPITAIS";"HOSPITAL PRONTOCOR DE MURIAE";"=""4042107""";"=""20349767000138""";"MG";"MURIAE";"";""
"HOSPITAIS";"HOSPITAL REGIONAL DE FRANCA SP";"=""2081601""";"=""68392604000164""";"SP";"FRANCA";"";""
"HOSPITAIS";"HOSPITAL REGIONAL DO OESTE";"=""2537788""";"=""02122913000106""";"SC";"CHAPECO";"";""
"HOSPITAIS";"HOSPITAL REGIONAL DO SUL DE MINAS";"=""2761041""";"=""25863390000154""";"MG";"VARGINHA";"";""
"HOSPITAIS";"HOSPITAL REGIONAL DOM BOSCO";"=""2164612""";"=""16906935000171""";"MG";"ARAXA";"";""
"HOSPITAIS";"HOSPITAL RENASCENTISTA POUSO ALEGRE";"=""2761068""";"=""04168172000120""";"MG";"POUSO ALEGRE";"";""
"HOSPITAIS";"HOSPITAL RIO DOCE";"=""2465833""";"=""27836329000143""";"ES";"LINHARES";"";""
"HOSPITAIS";"HOSPITAL RIO LARANJEIRAS LTDA";"=""5409063""";"=""08752137000104""";"RJ";"RIO DE JANEIRO";"";""
"HOSPITAIS";"HOSPITAL SAGRADA FAMILIA";"=""2227908""";"=""91681361001844""";"RS";"SAO SEBASTIAO DO CAI";"";""
"HOSPITAIS";"HOSPITAL SAMARIA";"=""2379627""";"=""82763798000430""";"SC";"RIO DO SUL";"";""
"HOSPITAIS";"HOSPITAL SAMARITANO";"=""2339706""";"=""01552942000145""";"GO";"GOIANIA";"";""
"HOSPITAIS";"HOSPITAL SAMARITANO";"=""2080818""";"=""60544244000167""";"SP";"SAO PAULO";"";""
"HOSPITAIS";"HOSPITAL SANCTA MAGGIORE PARAISO";"=""7174721""";"=""00461479001054""";"SP";"SAO PAULO";"";""
"HOSPITAIS";"HOSPITAL SANTA CASA";"=""2580055""";"=""78614971000119""";"PR";"LONDRINA";"";""
"HOSPITAIS";"HOSPITAL SANTA CASA DE CURITIBA";"=""0015334""";"=""76613835000189""";"PR";"CURITIBA";"";""
"HOSPITAIS";"HOSPITAL SANTA CRUZ DE CANOINHAS";"=""2491249""";"=""83192096000164""";"SC";"CANOINHAS";"";""
"HOSPITAIS";"HOSPITAL SANTA HELENA";"=""2518457""";"=""01656123000148""";"GO";"GOIANIA";"";""
"HOSPITAIS";"HOSPITAL SANTA HELENA";"=""2220423""";"=""20377941000156""";"MG";"CONTAGEM";"";""
"HOSPITAIS";"HOSPITAL SANTA HELENA SAO JOSE DO RIO PRETO";"=""2797844""";"=""59970947000178""";"SP";"SAO JOSE DO RIO PRETO";"";""
"HOSPITAIS";"HOSPITAL SANTA ISABEL";"=""2558245""";"=""60922168005226""";"SC";"BLUMENAU";"";""
"HOSPITAIS";"HOSPITAL SANTA JULIANA";"=""2002078""";"=""00529443000336""";"AC";"RIO BRANCO";"";""
"HOSPITAIS";"HOSPITAL SANTA LUCINDA SOROCABA";"=""2765942""";"=""60990751001791""";"SP";"SOROCABA";"";""
"HOSPITAIS";"HOSPITAL SANTA MARIA";"=""2518058""";"=""19734484000120""";"GO";"GOIANIA";"";""
"HOSPITAIS";"HOSPITAL SANTA MARTA NIQUELANDIAGO";"=""2442817""";"=""02216174000111""";"GO";"NIQUELANDIA";"";""
"HOSPITAIS";"HOSPITAL SANTA RITA DE CASSIA VITORIA";"=""0011738""";"=""28137925000106""";"ES";"VITORIA";"";""
"HOSPITAIS";"HOSPITAL SANTA RITA LTDA";"=""3074889""";"=""03151578000137""";"MS";"DOURADOS";"";""
"HOSPITAIS";"HOSPITAL SANTA ROSALIA";"=""2208172""";"=""25104902000107""";"MG";"TEOFILO OTONI";"";""
"HOSPITAIS";"HOSPITAL SANTA TERESA";"=""2275635""";"=""60922168000429""";"RJ";"PETROPOLIS";"";""
"HOSPITAIS";"HOSPITAL SANTA TERESINHA";"=""2665883""";"=""86437845000164""";"SC";"BRACO DO NORTE";"";""
"HOSPITAIS";"HOSPITAL SANTA TEREZA";"=""2081938""";"=""51879500000186""";"SP";"CAMPINAS";"";""
"HOSPITAIS";"HOSPITAL SANTO AFONSO";"=""2250675""";"=""96419353000108""";"RS";"CANDIDO GODOI";"";""
