Nome_Fantasia;Cnes;Cnpj;UF;Municipio
MATERNIDADE DO POVO MATRIZ;2332930;4933933000192;PA;BELEM
MATERNIDADE E HOSPITAL OCTAVIANO NEVES;27871;17272568000164;MG;BELO HORIZONTE
MATERNIDADE FEMINA;5363659;53629000108;GO;GOIANIA
MATERNIDADE MODELO;2519356;1550771000115;GO;GOIANIA
MATERNIDADE SANTA FE;27494;17267634000108;MG;BELO HORIZONTE
MATERNIDADE SANTA PAULA LTDA;3530159;27330885000143;ES;VITORIA
MATERNIDADE SAO FRANCISCO;3022080;247125000200;RJ;NITEROI
MATERNIDADE SAUDE DA CRIANCA;5332427;63846455000142;PA;BELEM
MATERNIDADE SINHA JUNQUEIRA;2078791;56014830000122;SP;RIBEIRAO PRETO
NATAL HOSPITAL CENTER;2656930;2109397000180;RN;NATAL
NOSSA SENHORA DE FATIMA HOSPITAL DA MULHER E MATERNIDADE;15717;76583160000415;PR;CURITIBA
OURO PRETO SANTA CASA DE OURO PRETO;2163829;23065329000136;MG;OURO PRETO
PAX CLINICA PSIQUIATRICA;2589672;1250414000131;GO;APARECIDA DE GOIANIA
PREMIER RESIDENCE HOSPITAL;3477355;7028113000144;SP;SAO PAULO
PROCARDIO;2309033;69420156000128;MA;SAO LUIS
PROCARDIO HOSPITAL MEMORIAL SAO FRANCISCO;3398315;8973539000139;PB;JOAO PESSOA
PRONCOR;2599848;3121241000268;MS;CAMPO GRANDE
PRONTO SOCORRO INFANTIL DE GOIANIA;2338130;1545649000150;GO;GOIANIA
PRONTO SOCORRO PARA QUEIMADURAS LTDA;2338416;1588128000180;GO;GOIANIA
PRONTOBABY HOSPITAL DA CRIANCA;5160308;33472200000104;RJ;RIO DE JANEIRO
PRONTOCLINICA PASSO FUNDO;3141330;90619818000180;RS;PASSO FUNDO
PRONTONORTE;3019616;511816000180;DF;BRASILIA
REDE PRIMAVERA HOSPITAL PRIMAVERA;6003494;13356779000124;SE;ARACAJU
SABARA SANTA CASA DE MISERICORDIA DE SABARA;2117282;24315681000145;MG;SABARA
SAGRAT COR HOSPITAL;2017741;1397718000126;AM;MANAUS
SAMER HOSPITAL;2299216;29072642000188;RJ;RESENDE
SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;2161354;24729097000136;MG;SAO JOAO DEL REI
SANTA CASA DE ALEGRETE;2248328;87200929000142;RS;ALEGRETE
SANTA CASA DE ANDRADAS;2775956;16731630000176;MG;ANDRADAS
SANTA CASA DE CORNELIO PROCOPIO;2582449;76256064000110;PR;CORNELIO PROCOPIO
SANTA CASA DE FERNANDOPOLIS;2093324;47844287000108;SP;FERNANDOPOLIS
SANTA CASA DE IBIA;2181029;20049300000172;MG;IBIA
SANTA CASA DE JAU;2791722;50753631000150;SP;JAU
SANTA CASA DE MARILIA;2083116;52049244000162;SP;MARILIA
SANTA CASA DE MISERICORDIA DE CACHOEIRO DE ITAPEMIRIM;2485680;27187087000104;ES;CACHOEIRO DE ITAPEMIRIM
SANTA CASA DE MISERICORDIA DE ITAPEVA;2027186;49797293000179;SP;ITAPEVA
SANTA CASA DE MISERICORDIA DE ITAPIRA;2084287;49911985000104;SP;ITAPIRA
SANTA CASA DE MISERICORDIA DE PELOTAS;2253054;92219559000125;RS;PELOTAS
SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO;2798298;59981712000181;SP;SAO JOSE DO RIO PRETO
SANTA CASA DE MISERICORDIA DE TATUI;2079135;72189582000107;SP;TATUI
SANTA CASA DE MISERICORDIA DO HOSP SAO FRANCISCO DE ASSIS;2139200;25268012000122;MG;TRES PONTAS
SANTA CASA DE RIO CLARO;2082888;56384183000140;SP;RIO CLARO
SANTA CASA DE SAO GABRIEL;2248204;96593322000160;RS;SAO GABRIEL
SANTA CASA DE VOTUPORANGA;2081377;72957814000120;SP;VOTUPORANGA
SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT;2080532;55344337000108;SP;PRESIDENTE PRUDENTE
SANTA CASA MISERICORDIA BARBACENA;2138875;17082892000110;MG;BARBACENA
SANTA MARIA CENTRO DE ATENCAO EM PSIQUIATRIA;27774;17247297000197;MG;BELO HORIZONTE
SANTA SANTA CASA;2164620;16908600000192;MG;ARAXA
SAO BERNARDO APART HOSPITAL;5678838;7039651000134;ES;COLATINA
SEMEC CENTRO MEDICO HOSPITALAR AGENOR PAIVA;3001814;15140254000182;BA;SALVADOR
SOCIEDADE MAE DA DIVINA PROVIDENCIAHOSP N SRA DOS PRAZERES;2500431;84942887000127;SC;LAGES
SOCIEDADE MAE DA DIVINA PROVIDENCIAHOSP N SRA DOS PRAZERES;2504316;84942887000127;SC;LAGES
SOS CARDIO;3327337;85307098000187;SC;FLORIANOPOLIS
UBERLANDIA MEDICAL CENTER;7433867;17087591000189;MG;UBERLANDIA
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;7581467;27578434002769;ES;VITORIA
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;3137163;27578434002769;ES;VITORIA
