Nome_Fantasia;Cnes;Cnpj;UF;Municipio
HOSPITAL NOSSA SENHORA DAS GRACAS;2232014;88314133000183;RS;CANOAS
HOSPITAL NOSSA SENHORA DAS GRACAS;2206528;24993560000152;MG;SETE LAGOAS
HOSPITAL NOSSA SENHORA DOS ANJOS;2185563;26202168000173;MG;ITAMBACURI
HOSPITAL OESTE DOR;7659415;6047087003316;RJ;RIO DE JANEIRO
HOSPITAL OSWALDO CRUZ;2755246;38147344000109;TO;PALMAS
HOSPITAL OTORRINO;2518853;1604628000169;GO;GOIANIA
HOSPITAL PADRE ALBINO CATANDUVA;2089327;47074851000819;SP;CATANDUVA
HOSPITAL PADRE MAXIMO VENDA NOVA DO IMIGRANTE;2403331;27443803000177;ES;VENDA NOVA DO IMIGRANTE
HOSPITAL PALMITOS;2664984;85361053000190;SC;PALMITOS
HOSPITAL PILAR;3000885;76498013000102;PR;CURITIBA
HOSPITAL PORTUGUES;2018098;4382792000167;AM;MANAUS
HOSPITAL PRONTOCOR DE MURIAE;4042107;20349767000138;MG;MURIAE
HOSPITAL REGIONAL DE FRANCA SP;2081601;68392604000164;SP;FRANCA
HOSPITAL REGIONAL DO OESTE;2537788;2122913000106;SC;CHAPECO
HOSPITAL REGIONAL DO SUL DE MINAS;2761041;25863390000154;MG;VARGINHA
HOSPITAL REGIONAL DOM BOSCO;2164612;16906935000171;MG;ARAXA
HOSPITAL RENASCENTISTA POUSO ALEGRE;2761068;4168172000120;MG;POUSO ALEGRE
HOSPITAL RIO DOCE;2465833;27836329000143;ES;LINHARES
HOSPITAL RIO LARANJEIRAS LTDA;5409063;8752137000104;RJ;RIO DE JANEIRO
HOSPITAL SAGRADA FAMILIA;2227908;91681361001844;RS;SAO SEBASTIAO DO CAI
HOSPITAL SAMARIA;2379627;82763798000430;SC;RIO DO SUL
HOSPITAL SAMARITANO;2339706;1552942000145;GO;GOIANIA
HOSPITAL SAMARITANO;2080818;60544244000167;SP;SAO PAULO
HOSPITAL SANCTA MAGGIORE PARAISO;7174721;461479001054;SP;SAO PAULO
HOSPITAL SANTA CASA;2580055;78614971000119;PR;LONDRINA
HOSPITAL SANTA CASA DE CURITIBA;15334;76613835000189;PR;CURITIBA
HOSPITAL SANTA CRUZ DE CANOINHAS;2491249;83192096000164;SC;CANOINHAS
HOSPITAL SANTA HELENA;2518457;1656123000148;GO;GOIANIA
HOSPITAL SANTA HELENA;2220423;20377941000156;MG;CONTAGEM
HOSPITAL SANTA HELENA SAO JOSE DO RIO PRETO;2797844;59970947000178;SP;SAO JOSE DO RIO PRETO
HOSPITAL SANTA ISABEL;2558245;60922168005226;SC;BLUMENAU
HOSPITAL SANTA JULIANA;2002078;529443000336;AC;RIO BRANCO
HOSPITAL SANTA LUCINDA SOROCABA;2765942;60990751001791;SP;SOROCABA
HOSPITAL SANTA MARIA;2518058;19734484000120;GO;GOIANIA
HOSPITAL SANTA MARTA NIQUELANDIAGO;2442817;2216174000111;GO;NIQUELANDIA
HOSPITAL SANTA RITA DE CASSIA VITORIA;11738;28137925000106;ES;VITORIA
HOSPITAL SANTA RITA LTDA;3074889;3151578000137;MS;DOURADOS
HOSPITAL SANTA ROSALIA;2208172;25104902000107;MG;TEOFILO OTONI
HOSPITAL SANTA TERESA;2275635;60922168000429;RJ;PETROPOLIS
HOSPITAL SANTA TERESINHA;2665883;86437845000164;SC;BRACO DO NORTE
HOSPITAL SANTA TEREZA;2081938;51879500000186;SP;CAMPINAS
HOSPITAL SANTO AFONSO;2250675;96419353000108;RS;CANDIDO GODOI
HOSPITAL SANTO ANTONIO;2178559;19989904000110;MG;CURVELO
HOSPITAL SAO BERNARDO;2538342;83506030000797;SC;QUILOMBO
HOSPITAL SAO CAMILO;6249604;83506030001254;SC;IPUMIRIM
HOSPITAL SAO CAMILO;6249604;83506030000100;SC;IPUMIRIM
HOSPITAL SAO CARLOS;2240335;89847370000172;RS;FARROUPILHA
HOSPITAL SAO CARLOS;3189546;11794674000121;CE;FORTALEZA
HOSPITAL SAO COTTOLENGO;2535939;420371000122;GO;TRINDADE
HOSPITAL SAO FRANCISCO;2303892;83506030000282;SC;CONCORDIA
HOSPITAL SAO FRANCISCO;2729539;7142188000151;PR;CAMBE
HOSPITAL SAO FRANCISCO;2339218;1625151000106;GO;GOIANIA
HOSPITAL SAO FRANCISCO;2515601;5661954000169;RO;ARIQUEMES
HOSPITAL SAO FRANCISCO;2303892;83506030000100;SC;CONCORDIA
HOSPITAL SAO FRANCISCO NA PROVIDENCIA DE DEUS;7453434;53221255004995;RJ;RIO DE JANEIRO
HOSPITAL SAO FRANCISCO RIBEIRAO PRETO;2079275;1613433006892;SP;RIBEIRAO PRETO
HOSPITAL SAO FRANCISCO SC LTDA;3101126;65705444000178;SP;COTIA
HOSPITAL SAO FRANCISCO TUPA;2080672;54722822000105;SP;TUPA
HOSPITAL SAO JANUARIO;2764865;71033278000103;MG;UBA
HOSPITAL SAO JOAO BATISTA;2241161;91616805000110;RS;NOVA PRATA
HOSPITAL SAO JOAO BATISTA;2760843;26001230000169;MG;VISCONDE DO RIO BRANCO
HOSPITAL SAO JOAO BATISTA DE MACAE;2697041;29696069000183;RJ;MACAE
HOSPITAL SAO JOAO BATISTA HSJB;8364755;83647552000113;SC;CRICIUMA
